Year,Week,HomeTeam,AwayTeam,HomeScore,AwayScore,PointDiff,HomeLine,AwayLine,PredictTotal,ActualTotal,HOME_TotalDVOA,HOME_OffenseDVOA,HOME_OffPassDVOA,HOME_OffRushDVOA,HOME_DefenseDVOA,HOME_DefPassDVOA,HOME_DefRushDVOA,HOME_STDVOA,VISIT_TotalDVOA,VISIT_OffenseDVOA,VISIT_OffPassDVOA,VISIT_OffRushDVOA,VISIT_DefenseDVOA,VISIT_DefPassDVOA,VISIT_DefRushDVOA,VISIT_STDVOA
2019,4,NYG,WAS,24,3,21,-3,3,46.5,27,0.657,-0.162,0.051,-0.212,-0.87,-1.179,-0.367,-0.051,-0.93,-1.135,-1.504,-0.415,-0.107,0.123,-0.283,0.099
2019,5,NYG,MIN,10,28,-18,4.5,-4.5,45,38,-0.387,-0.164,-0.212,-0.085,0.248,0.738,-0.273,0.024,0.454,0.089,0.587,-0.084,-0.288,-0.281,-0.3,0.077
2019,1,NYJ,BUF,16,17,-1,-3,3,39.5,33,-0.03,-0.032,0.048,-0.203,-0.088,-0.208,0.088,-0.086,-0.175,-0.155,-0.307,0.239,0.039,0.106,-0.105,0.019
2019,2,NYJ,CLE,3,23,-20,2.5,-2.5,46,26,-0.365,-0.415,-0.398,-0.171,-0.075,0.122,-0.381,-0.025,0.183,-0.096,0.071,-0.216,-0.16,-0.222,-0.08,0.119
2019,1,OAK,DEN,24,16,8,-1,1,43,40,0.453,0.401,1.136,0.095,0.047,0.246,-0.213,0.099,-0.405,0.018,0.193,-0.106,0.348,0.832,-0.035,-0.075
2019,2,OAK,KC,10,28,-18,8,-8,52,38,-0.627,-0.391,-0.408,-0.056,0.215,0.632,-0.582,-0.021,0.794,0.408,0.942,-0.571,-0.384,-0.51,-0.12,0.002
2019,5,OAK,CHI,24,21,3,5.5,-5.5,41,45,0.425,0.317,0.349,0.348,-0.158,-0.122,-0.223,-0.049,-0.288,-0.219,-0.111,-0.164,0.205,0.306,0.146,0.136
2019,1,PHI,WAS,32,27,5,-8.5,8.5,45.5,59,-0.22,0.307,0.63,-0.022,0.583,1.005,-0.526,0.055,0.265,0.494,1.149,-0.546,0.261,0.545,-0.046,0.031
2019,3,PHI,DET,24,27,-3,-7.5,7.5,49,51,-0.143,0.093,0.331,-0.168,-0.016,0.162,-0.165,-0.252,0.302,0.014,0.52,-0.167,-0.076,0.099,-0.273,0.212
2019,5,PHI,NYJ,31,6,25,-14,14,44.5,37,0.743,0.025,0.228,-0.112,-0.699,-1.069,-0.168,0.02,-0.75,-0.862,-1.313,-0.185,-0.063,0.062,-0.183,0.048
2019,2,PIT,SEA,26,28,-2,-3.5,3.5,46.5,54,-0.104,0.083,-0.018,0.27,0.217,0.472,-0.076,0.031,0.358,0.396,0.825,-0.008,0.036,-0.073,0.249,-0.001
2019,4,PIT,CIN,27,3,24,-4.5,4.5,44,30,0.602,0.107,0.567,-0.393,-0.427,-0.702,0.026,0.067,-0.79,-0.54,-0.694,-0.081,0.215,0.665,-0.288,-0.035
2019,5,PIT,BAL,23,26,-3,4,-4,42.5,49,-0.016,-0.389,-0.45,-0.129,-0.422,-0.848,-0.178,-0.049,0.147,-0.261,-0.718,-0.02,-0.243,-0.379,-0.036,0.166
2019,1,SD,IND,30,24,6,-7,7,44,54,-0.019,0.24,0.271,0.289,0.284,0.312,0.265,0.026,-0.112,0.322,0.294,0.341,0.242,0.197,0.31,-0.192
2019,3,SD,HOU,20,27,-7,-3.5,3.5,48.5,47,-0.144,0.21,0.342,-0.099,0.335,0.636,-0.31,-0.019,0.219,0.293,0.788,-0.525,0.055,0.147,-0.169,-0.019
2019,5,SD,DEN,34,27,7,-6.5,6.5,44,61,-0.281,-0.499,-0.406,-0.741,-0.056,-0.353,0.183,0.162,0.111,-0.14,-0.537,0.247,-0.46,-0.388,-0.653,-0.209
2019,1,SEA,CIN,21,20,1,-9.5,9.5,43.5,41,-0.148,-0.229,-0.036,-0.217,-0.039,0.087,-0.5,0.042,-0.043,-0.154,0.034,-0.614,-0.183,-0.146,-0.214,-0.071
2019,3,SEA,NO,27,33,-6,-5,5,45,60,0.102,0.322,0.71,-0.179,0.087,0.394,-0.216,-0.133,0.137,0.087,0.614,-0.231,0.131,0.378,-0.255,0.182
2019,5,SEA,LARM,30,29,1,1,-1,49,59,0.244,0.399,1.582,-0.008,0.163,0.296,-0.141,0.008,-0.131,0.145,0.374,-0.079,0.297,1.141,-0.061,0.021
2019,3,SF,PIT,24,20,4,-7,7,44,44,0.397,-0.019,-0.083,0.031,-0.372,-0.459,-0.265,0.044,-0.105,-0.134,-0.038,-0.249,-0.095,-0.096,-0.094,-0.065
2019,5,SF,CLE,31,3,28,-3,3,47.5,34,1.009,0.233,0.348,0.197,-0.859,-1.347,-0.169,-0.084,-0.93,-0.803,-1.137,-0.076,0.163,0.161,0.164,0.036
2019,1,TB,SF,17,31,-14,-1,1,49.5,48,-0.055,-0.318,-0.681,0.234,-0.342,-0.241,-0.425,-0.08,0.391,-0.158,-0.061,-0.165,-0.529,-0.993,0.096,0.02
2019,3,TB,NYG,31,32,-1,-6.5,6.5,48.5,63,-0.038,0.104,0.342,-0.042,0.039,0.103,-0.089,-0.102,-0.073,0.033,0.091,0.259,0.12,0.295,-0.088,0.014
2019,2,TEN,IND,17,19,-2,-3,3,44,36,-0.205,-0.166,-0.256,-0.076,0.005,0.082,-0.053,-0.033,0.098,0.062,0.25,0.077,-0.122,-0.229,-0.01,-0.086
2019,5,TEN,BUF,7,14,-7,-2.5,2.5,38.5,21,-0.432,-0.204,0.046,-0.148,-0.031,0.026,-0.11,-0.259,0.179,0.037,0.041,0.033,-0.117,-0.132,-0.105,0.025
2019,2,WAS,DAL,21,31,-10,4.5,-4.5,44,52,-0.054,0.161,0.417,-0.174,0.259,0.372,0.171,0.045,0.257,0.407,0.608,0.321,0.17,0.319,-0.133,0.02
2019,3,WAS,CHI,15,31,-16,4,-4,42,46,-0.276,-0.219,-0.063,-0.434,0.073,0.278,-0.212,0.015,-0.014,-0.044,0.197,-0.264,-0.167,-0.109,-0.28,-0.137
2019,5,WAS,NE,7,33,-26,14.5,-14.5,46,40,-0.653,-0.553,-0.875,0.042,0.098,0.114,0.072,-0.001,0.748,0.107,0.175,0.106,-0.541,-1.12,0.175,0.1
